id,review_title,review,pros,cons,rating,job_status,position,company,year
1238,Solid employer,the culture and the technology gave me a career path,a supportive organisation. strong culture and real career opportunities,career progress can be slow,5,Current Employee,Systems Administrator,Company H,2015
1239,Would recommend,great environment and good people to learn from,good benefits and a good environment. great place to work. great opportunity to learn,the busy period can stretch,4,Current Employee,Team Lead,Company H,2016
1240,Enjoyed my time,the client work developed my career. good career opportunities across a strong organisation,good technology and interesting clients,career progress can be slow. a large organisation moves slowly,4,Current Employee,Technical Support Specialist,Company D,2018
1241,Solid employer,a typical day was enjoyable and i learned something new. enjoyed the work and learned every day,learned a lot from the team. enjoyable typical day. enjoyed the daily work,some days were long. the hardest part was the pace,5,Current Employee,Technical Support Specialist,Company D,2018
1242,Average employer,long hours answering calls for low pay,good training when you start. you learn the systems quickly,short break between calls,3,Former Employee,Senior Consultant,Company F,2015
1243,Good culture,enjoyed the work and learned every day,enjoyed the daily work. enjoyable typical day. the people made the day enjoyable,the hardest part was the pace,5,Former Employee,Senior Consultant,Company D,2015
1244,Good company,supported the project team and delivered the service. provided customer support on the service product,clear role and steady service work. good project structure. clear process and a supportive project team,the process is slow,4,Current Employee,Systems Administrator,Company E,2019
1245,Disappointing,the company cut people every year and the pay never changed. layoffs and low pay defined my time there,decent pay at the start. the pay arrived on time. good benefits while they lasted,low pay and no raise for years,2,Former Employee,Project Manager,Company G,2018
1246,Good company,"the most enjoyable part was the people, the hardest part was leaving. enjoyed the work and learned every day",enjoyed the daily work. the people made the day enjoyable. enjoyable typical day,some days were long. the hardest part was the pace,4,Current Employee,Systems Administrator,Company A,2018
1247,Great place to work,"the most enjoyable part was the people, the hardest part was leaving",enjoyed the daily work,some days were long,5,Former Employee,Systems Administrator,Company B,2019
1248,Stressful and underpaid,management expects a lot and gives little support,a few good supervisors,no support from management,1,Current Employee,Business Analyst,Company D,2020
1249,Mixed experience,long hours answering calls for low pay,the health cover was fine. good training when you start,long hours on call with a short break,3,Current Employee,Technical Support Specialist,Company G,2015
1250,Great place to work,the client work developed my career. the culture and the technology gave me a career path,a supportive organisation. career development is taken seriously. strong culture and real career opportunities,a large organisation moves slowly,5,Current Employee,Business Analyst,Company D,2013
1251,Good company,enjoyed the work and learned every day,learned a lot from the team. enjoyed the daily work. enjoyable typical day,the hardest part was the pace. some days were long,4,Current Employee,Project Manager,Company I,2012
1252,Not what was promised,"the supervisor and upper management were the problem. poor management, high stress and no team support",one decent team lead,poor management and no leadership. no support from management,2,Current Employee,Technical Support Specialist,Company D,2018
1253,Not what was promised,long hours answering calls for low pay. handled calls all day with a short break,good training when you start. you learn the systems quickly. the health cover was fine,low pay for a long day of calls,2,Current Employee,Senior Consultant,Company E,2019
1254,Poor management,"management expects a lot and gives little support. poor management, high stress and no team support",one decent team lead,poor management with little direction,1,Former Employee,Customer Service Representative,Company G,2020
1255,Good company,good career opportunities across a strong organisation. the culture and the technology gave me a career path,a supportive organisation. good technology and interesting clients,career progress can be slow. a large organisation moves slowly,4,Current Employee,Data Analyst,Company D,2013
1256,Average employer,provided customer support on the service product. supported the project team and delivered the service,good project structure. clear role and steady service work,too much process for a small project,3,Former Employee,Systems Administrator,Company C,2020
1257,Enjoyed my time,the work environment is good and the people are great,good people and a strong work environment. lots of opportunity to grow. great place to work,little to complain about. the busy period can stretch,4,Former Employee,Business Analyst,Company E,2018
1258,Great place to work,supported the project team and delivered the service. provided customer support on the service product,good project structure. clear process and a supportive project team,too much process for a small project. the process is slow,4,Former Employee,Technical Support Specialist,Company I,2019
1259,Enjoyed my time,good place with real opportunity,lots of opportunity to grow. good people and a strong work environment,the busy period can stretch,5,Former Employee,Team Lead,Company I,2018
1260,Solid employer,"the most enjoyable part was the people, the hardest part was leaving. a typical day was enjoyable and i learned something new",the people made the day enjoyable. enjoyed the daily work,some days were long. the hardest part was the pace,5,Former Employee,Technical Support Specialist,Company C,2015
1261,Solid employer,a great company with a good culture. the work environment is good and the people are great,good work environment. lots of opportunity to grow. great culture and great people,the busy period can stretch. little to complain about,5,Former Employee,Software Engineer,Company I,2018
1262,Mixed experience,"no job security, they let people go without warning",decent pay at the start. the pay arrived on time. good benefits while they lasted,low pay and no raise for years. job security disappeared after the change,3,Current Employee,Software Engineer,Company D,2019
1263,Great place to work,enjoyed the work and learned every day. a typical day was enjoyable and i learned something new,enjoyed the daily work. learned a lot from the team,some days were long. the hardest part was the pace,4,Former Employee,Systems Administrator,Company I,2018
1264,Stressful and underpaid,the supervisor and upper management were the problem,a few good supervisors. one decent team lead,upper management expects too much. bad management and high stress,2,Current Employee,Data Analyst,Company G,2014
1265,Solid employer,the work environment is good and the people are great. great environment and good people to learn from,great place to work. great benefits and a good place,large place so things move slowly,5,Current Employee,Business Analyst,Company G,2013
1266,Solid employer,supported the project team and delivered the service. project work covering support and service delivery,clear process and a supportive project team,too much process for a small project. the process is slow,4,Current Employee,Project Manager,Company J,2015
1267,Great place to work,enjoyed the work and learned every day,enjoyed the daily work. the people made the day enjoyable,some days were long. the hardest part was the pace,4,Current Employee,Software Engineer,Company I,2015
1268,Okay overall,"the company cut people every year and the pay never changed. no job security, they let people go without warning",the pay arrived on time. good benefits while they lasted,layoffs come round every year. low pay for the hours asked,3,Former Employee,Systems Administrator,Company B,2015
1269,Not what was promised,the supervisor and upper management were the problem,one decent team lead,management lacks the skill,2,Current Employee,Data Analyst,Company B,2017
1270,Solid employer,good place with real opportunity. the work environment is good and the people are great,good work environment. great place to work,nothing serious to note,5,Current Employee,Senior Consultant,Company I,2019
1271,Not what was promised,the company cut people every year and the pay never changed,good benefits while they lasted,layoffs come round every year. constant layoffs every year,2,Former Employee,Team Lead,Company F,2017
1272,Solid employer,a typical day was enjoyable and i learned something new,enjoyable typical day,the hardest part was the pace. some days were long,5,Current Employee,Technical Support Specialist,Company D,2016
1273,Avoid,the company cut people every year and the pay never changed,good benefits while they lasted. decent pay at the start,low pay and no raise for years,2,Former Employee,Data Analyst,Company B,2016
1274,Good company,good career opportunities across a strong organisation,strong culture and real career opportunities. a supportive organisation,a large organisation moves slowly. career progress can be slow,4,Former Employee,Technical Support Specialist,Company F,2018
1275,Poor management,"no job security, they let people go without warning",decent pay at the start. good benefits while they lasted. the pay arrived on time,low pay for the hours asked,2,Former Employee,Software Engineer,Company D,2020
1276,Good culture,worked in the call center office helping people on the phone,good computer equipment. a helpful office and a clean center,the call center office felt dated,4,Former Employee,Team Lead,Company K,2020
1277,Would recommend,good place with real opportunity,good benefits and a good environment,the busy period can stretch. little to complain about,5,Current Employee,Project Manager,Company C,2018
1278,Would recommend,the culture and the technology gave me a career path,good technology and interesting clients. strong culture and real career opportunities,career progress can be slow,4,Current Employee,Senior Consultant,Company H,2019
1279,Avoid,layoffs and low pay defined my time there,decent pay at the start,layoffs come round every year,2,Former Employee,Business Analyst,Company B,2018
1280,Good culture,great environment and good people to learn from. a great company with a good culture,great place to work,little to complain about,5,Former Employee,Systems Administrator,Company H,2020
1281,Enjoyed my time,a typical day was enjoyable and i learned something new,the people made the day enjoyable. enjoyed the daily work,the hardest part was the pace. some days were long,5,Former Employee,Software Engineer,Company C,2020
1282,Great place to work,the culture and the technology gave me a career path,good technology and interesting clients. a supportive organisation. career development is taken seriously,a large organisation moves slowly,5,Current Employee,Customer Service Representative,Company J,2019
1283,Would recommend,great environment and good people to learn from. a great company with a good culture,great benefits and a good place. lots of opportunity to grow,the busy period can stretch. large place so things move slowly,5,Former Employee,Business Analyst,Company E,2018
1284,Good culture,managed the process and the product for the customer team. project work covering support and service delivery,good project structure,the process is slow. too much process for a small project,4,Current Employee,Technical Support Specialist,Company I,2020
1285,Good and bad,provided customer support on the service product,clear process and a supportive project team,too much process for a small project. the process is slow,3,Former Employee,Project Manager,Company K,2016
1286,Depends on the team,handled calls all day with a short break. the training was good but the day is call after call,the health cover was fine. good training when you start. you learn the systems quickly,long hour shifts with a short lunch,3,Current Employee,Network Engineer,Company D,2018
1287,Average employer,worked in the call center office helping people on the phone,comfortable office and a short commute. a helpful office and a clean center. good computer equipment,the office equipment is old,3,Former Employee,Customer Service Representative,Company D,2018
1288,Would recommend,the work environment is good and the people are great,good work environment. great culture and great people. good people and a strong work environment,the busy period can stretch,5,Current Employee,Team Lead,Company I,2017
1289,Enjoyed my time,"a typical day was enjoyable and i learned something new. the most enjoyable part was the people, the hardest part was leaving",learned a lot from the team,the hardest part was the pace,4,Current Employee,Project Manager,Company E,2019
1290,Great place to work,the work environment is good and the people are great. a great company with a good culture,great opportunity to learn,large place so things move slowly. nothing serious to note,5,Current Employee,Customer Service Representative,Company I,2014
1291,Stressful and underpaid,the company cut people every year and the pay never changed,decent pay at the start,low pay for the hours asked,2,Former Employee,Team Lead,Company F,2016
1292,Disappointing,the training was good but the day is call after call,you learn the systems quickly. the health cover was fine. good training when you start,short break between calls. long hours on call with a short break,2,Former Employee,Data Analyst,Company I,2015
1293,Would recommend,supported the project team and delivered the service,good project structure,too much process for a small project. the process is slow,4,Current Employee,Business Analyst,Company K,2019
1294,Enjoyed my time,"the most enjoyable part was the people, the hardest part was leaving",learned a lot from the team. the people made the day enjoyable,some days were long. the hardest part was the pace,5,Former Employee,Network Engineer,Company D,2018
1295,Poor management,the company cut people every year and the pay never changed,the pay arrived on time. good benefits while they lasted. decent pay at the start,low pay for the hours asked. layoffs come round every year,2,Former Employee,Project Manager,Company B,2014
1296,Solid employer,good place with real opportunity,great place to work,nothing serious to note,5,Current Employee,Software Engineer,Company B,2015
1297,Disappointing,"no job security, they let people go without warning. layoffs and low pay defined my time there",decent pay at the start. the pay arrived on time. good benefits while they lasted,low pay and no raise for years,2,Current Employee,Network Engineer,Company C,2020
1298,Mixed experience,the training was good but the day is call after call. handled calls all day with a short break,you learn the systems quickly. the health cover was fine. good training when you start,low pay for a long day of calls,3,Current Employee,Project Manager,Company J,2014
1299,Great place to work,a great company with a good culture. the work environment is good and the people are great,great place to work,large place so things move slowly,5,Current Employee,Senior Consultant,Company H,2012
1300,Good company,great environment and good people to learn from. a great company with a good culture,good people and a strong work environment. great benefits and a good place,nothing serious to note,5,Former Employee,Project Manager,Company D,2019
1301,Good culture,a typical day was enjoyable and i learned something new. enjoyed the work and learned every day,learned a lot from the team,the hardest part was the pace. some days were long,4,Former Employee,Team Lead,Company J,2020
1302,Disappointing,"poor management, high stress and no team support. the supervisor and upper management were the problem",a few good supervisors. one decent team lead,poor management with little direction,1,Former Employee,Network Engineer,Company C,2013
1303,Good company,the client work developed my career,strong culture and real career opportunities. a supportive organisation. career development is taken seriously,a large organisation moves slowly. career progress can be slow,5,Former Employee,Software Engineer,Company I,2019
1304,Solid employer,good career opportunities across a strong organisation,career development is taken seriously. good technology and interesting clients,a large organisation moves slowly. career progress can be slow,4,Former Employee,Systems Administrator,Company E,2017
1305,Would recommend,enjoyed the work and learned every day. a typical day was enjoyable and i learned something new,learned a lot from the team,the hardest part was the pace. some days were long,5,Current Employee,Network Engineer,Company H,2015
1306,Would recommend,good career opportunities across a strong organisation. the client work developed my career,career development is taken seriously,a large organisation moves slowly. career progress can be slow,5,Current Employee,Team Lead,Company J,2019
1307,Disappointing,management expects a lot and gives little support,one decent team lead,bad management and high stress. upper management expects too much,1,Current Employee,Senior Consultant,Company I,2017
1308,Good company,great environment and good people to learn from,great culture and great people. good work environment. great benefits and a good place,the busy period can stretch. little to complain about,4,Current Employee,Data Analyst,Company H,2016
1309,Enjoyed my time,"the most enjoyable part was the people, the hardest part was leaving",the people made the day enjoyable. learned a lot from the team. enjoyable typical day,some days were long,4,Current Employee,Data Analyst,Company C,2015
1310,Enjoyed my time,good place with real opportunity. the work environment is good and the people are great,good people and a strong work environment. great opportunity to learn. lots of opportunity to grow,nothing serious to note. large place so things move slowly,5,Current Employee,Systems Administrator,Company C,2012
1311,Good culture,the work environment is good and the people are great. great environment and good people to learn from,great place to work. good work environment. great opportunity to learn,nothing serious to note,5,Current Employee,Business Analyst,Company C,2018
1312,Okay overall,project work covering support and service delivery,good project structure. clear process and a supportive project team,the process is slow. too much process for a small project,3,Former Employee,Senior Consultant,Company K,2020
1313,Disappointing,the company cut people every year and the pay never changed,good benefits while they lasted. decent pay at the start,low pay for the hours asked,2,Current Employee,Project Manager,Company D,2019
1314,Good culture,the office and the computer setup shaped the day,good computer equipment. comfortable office and a short commute. a helpful office and a clean center,the call center office felt dated. the office equipment is old,4,Current Employee,Software Engineer,Company G,2014
1315,Enjoyed my time,project work covering support and service delivery. managed the process and the product for the customer team,good project structure,too much process for a small project,4,Current Employee,Software Engineer,Company H,2020
1316,Solid employer,"the most enjoyable part was the people, the hardest part was leaving",enjoyable typical day. the people made the day enjoyable,the hardest part was the pace. some days were long,5,Former Employee,Team Lead,Company A,2017
1317,Solid employer,good career opportunities across a strong organisation,a supportive organisation. good technology and interesting clients,a large organisation moves slowly. career progress can be slow,4,Former Employee,Team Lead,Company G,2012
1318,Solid employer,good career opportunities across a strong organisation,a supportive organisation. career development is taken seriously. strong culture and real career opportunities,career progress can be slow,5,Former Employee,Network Engineer,Company J,2020
1319,Depends on the team,supported the project team and delivered the service,clear role and steady service work. clear process and a supportive project team. good project structure,too much process for a small project,3,Current Employee,Data Analyst,Company F,2017
1320,Good company,good place with real opportunity,great benefits and a good place. good benefits and a good environment,large place so things move slowly. the busy period can stretch,4,Former Employee,Data Analyst,Company D,2017
1321,Great place to work,"enjoyed the work and learned every day. the most enjoyable part was the people, the hardest part was leaving",enjoyable typical day. learned a lot from the team,some days were long,4,Former Employee,Project Manager,Company K,2018
1322,Avoid,"poor management, high stress and no team support",a few good supervisors. one decent team lead,no support from management. poor management and no leadership,2,Current Employee,Data Analyst,Company I,2015
1323,Enjoyed my time,project work covering support and service delivery,clear role and steady service work. good project structure. clear process and a supportive project team,too much process for a small project. the process is slow,4,Current Employee,Customer Service Representative,Company K,2018
1324,Good company,a great company with a good culture. great environment and good people to learn from,good benefits and a good environment. great place to work. great benefits and a good place,large place so things move slowly,5,Former Employee,Network Engineer,Company E,2017
1325,Enjoyed my time,the culture and the technology gave me a career path. good career opportunities across a strong organisation,career development is taken seriously,career progress can be slow,5,Former Employee,Customer Service Representative,Company F,2012
1326,Disappointing,the company cut people every year and the pay never changed,the pay arrived on time. good benefits while they lasted,constant layoffs every year,2,Former Employee,Project Manager,Company B,2012
1327,Good company,good place with real opportunity,great benefits and a good place. lots of opportunity to grow,the busy period can stretch. little to complain about,4,Current Employee,Customer Service Representative,Company J,2013
1328,Poor management,"no job security, they let people go without warning",the pay arrived on time. good benefits while they lasted,no pay raise while costs climbed. job security disappeared after the change,1,Former Employee,Systems Administrator,Company G,2017
1329,Good culture,enjoyed the work and learned every day,the people made the day enjoyable. enjoyable typical day. enjoyed the daily work,the hardest part was the pace,5,Current Employee,Team Lead,Company K,2017
1330,Would recommend,the work environment is good and the people are great,good people and a strong work environment. good work environment,the busy period can stretch. large place so things move slowly,5,Former Employee,Business Analyst,Company A,2020
1331,Would recommend,the work environment is good and the people are great. a great company with a good culture,lots of opportunity to grow. good work environment. great benefits and a good place,the busy period can stretch,5,Current Employee,Systems Administrator,Company A,2017
1332,Good company,the work environment is good and the people are great,great place to work. lots of opportunity to grow,large place so things move slowly,4,Current Employee,Data Analyst,Company H,2020
1333,Good and bad,provided customer support on the service product. project work covering support and service delivery,good project structure. clear process and a supportive project team,the process is slow. too much process for a small project,3,Former Employee,Data Analyst,Company D,2013
1334,Enjoyed my time,a great company with a good culture. great environment and good people to learn from,good benefits and a good environment,nothing serious to note,5,Current Employee,Software Engineer,Company H,2014
1335,Good culture,the work environment is good and the people are great. a great company with a good culture,good benefits and a good environment,nothing serious to note. the busy period can stretch,5,Current Employee,Technical Support Specialist,Company G,2017
1336,Great place to work,"the most enjoyable part was the people, the hardest part was leaving",enjoyed the daily work. learned a lot from the team. enjoyable typical day,some days were long,5,Former Employee,Systems Administrator,Company E,2014
1337,Good culture,enjoyed the work and learned every day. a typical day was enjoyable and i learned something new,enjoyed the daily work. the people made the day enjoyable. enjoyable typical day,the hardest part was the pace. some days were long,4,Former Employee,Customer Service Representative,Company I,2012
1338,Would recommend,a typical day was enjoyable and i learned something new. enjoyed the work and learned every day,learned a lot from the team,some days were long,5,Current Employee,Customer Service Representative,Company G,2020
1339,Enjoyed my time,enjoyed the work and learned every day. a typical day was enjoyable and i learned something new,the people made the day enjoyable,some days were long. the hardest part was the pace,5,Current Employee,Network Engineer,Company G,2013
1340,Enjoyed my time,the culture and the technology gave me a career path,a supportive organisation. good technology and interesting clients. career development is taken seriously,a large organisation moves slowly. career progress can be slow,5,Current Employee,Senior Consultant,Company C,2017
1341,Good culture,the client work developed my career,a supportive organisation. career development is taken seriously,career progress can be slow,5,Current Employee,Team Lead,Company F,2019
1342,Good and bad,the office and the computer setup shaped the day,good computer equipment. a helpful office and a clean center. comfortable office and a short commute,the office equipment is old. the call center office felt dated,3,Current Employee,Project Manager,Company J,2017
1343,Good company,"the most enjoyable part was the people, the hardest part was leaving",the people made the day enjoyable. enjoyed the daily work,the hardest part was the pace. some days were long,5,Current Employee,Technical Support Specialist,Company G,2019
1344,Stressful and underpaid,the company cut people every year and the pay never changed,decent pay at the start,job security is poor,2,Current Employee,Systems Administrator,Company I,2015
1345,Good company,good place with real opportunity,good benefits and a good environment. good work environment,large place so things move slowly. nothing serious to note,4,Former Employee,Technical Support Specialist,Company H,2012
1346,Disappointing,"layoffs and low pay defined my time there. no job security, they let people go without warning",good benefits while they lasted. the pay arrived on time,job security is poor. constant layoffs every year,2,Current Employee,Project Manager,Company F,2019
1347,Great place to work,worked in the call center office helping people on the phone,a helpful office and a clean center. comfortable office and a short commute. good computer equipment,the office equipment is old. the call center office felt dated,4,Former Employee,Customer Service Representative,Company A,2012
1348,Stressful and underpaid,layoffs and low pay defined my time there. the company cut people every year and the pay never changed,decent pay at the start. the pay arrived on time,layoffs come round every year. job security is poor,1,Former Employee,Senior Consultant,Company K,2016
1349,Good culture,managed the process and the product for the customer team,good project structure. clear role and steady service work. clear process and a supportive project team,the process is slow. too much process for a small project,4,Former Employee,Network Engineer,Company B,2020
1350,Good culture,good career opportunities across a strong organisation. the client work developed my career,strong culture and real career opportunities. a supportive organisation,a large organisation moves slowly,4,Current Employee,Data Analyst,Company B,2016
1351,Good culture,great environment and good people to learn from,good benefits and a good environment. great benefits and a good place. good work environment,nothing serious to note,4,Former Employee,Business Analyst,Company C,2019
1352,Would recommend,a typical day was enjoyable and i learned something new. enjoyed the work and learned every day,learned a lot from the team,some days were long. the hardest part was the pace,5,Former Employee,Systems Administrator,Company F,2020
1353,Good company,provided customer support on the service product. project work covering support and service delivery,clear process and a supportive project team,the process is slow,4,Current Employee,Customer Service Representative,Company B,2016
1354,Poor management,the company cut people every year and the pay never changed. layoffs and low pay defined my time there,the pay arrived on time. good benefits while they lasted,no pay raise while costs climbed. layoffs come round every year,2,Current Employee,Systems Administrator,Company A,2017
1355,Solid employer,good place with real opportunity,lots of opportunity to grow. great place to work,nothing serious to note,5,Former Employee,Network Engineer,Company C,2014
1356,Depends on the team,provided customer support on the service product,clear role and steady service work,the process is slow,3,Former Employee,Senior Consultant,Company G,2018
1357,Enjoyed my time,the work environment is good and the people are great. good place with real opportunity,great place to work. good work environment. lots of opportunity to grow,little to complain about. the busy period can stretch,5,Former Employee,Customer Service Representative,Company G,2018
1358,Enjoyed my time,the culture and the technology gave me a career path,a supportive organisation. career development is taken seriously. strong culture and real career opportunities,career progress can be slow. a large organisation moves slowly,5,Current Employee,Senior Consultant,Company G,2019
1359,Enjoyed my time,a typical day was enjoyable and i learned something new,enjoyable typical day. learned a lot from the team. the people made the day enjoyable,some days were long,5,Former Employee,Business Analyst,Company G,2014
1360,Great place to work,the client work developed my career. good career opportunities across a strong organisation,strong culture and real career opportunities,a large organisation moves slowly. career progress can be slow,4,Former Employee,Project Manager,Company J,2019
1361,Avoid,layoffs and low pay defined my time there,the pay arrived on time. decent pay at the start. good benefits while they lasted,low pay and no raise for years. low pay for the hours asked,2,Current Employee,Data Analyst,Company J,2016
1362,Disappointing,the supervisor and upper management were the problem,one decent team lead. a few good supervisors,no support from management,1,Current Employee,Team Lead,Company D,2017
1363,Would recommend,the culture and the technology gave me a career path,career development is taken seriously. a supportive organisation. good technology and interesting clients,a large organisation moves slowly. career progress can be slow,5,Former Employee,Software Engineer,Company E,2017
1364,Not what was promised,the supervisor and upper management were the problem,a few good supervisors. one decent team lead,bad management and high stress,1,Former Employee,Systems Administrator,Company J,2017
1365,Stressful and underpaid,"the supervisor and upper management were the problem. poor management, high stress and no team support",a few good supervisors. one decent team lead,poor management with little direction. no support from management,1,Former Employee,Customer Service Representative,Company A,2013
1366,Avoid,"no job security, they let people go without warning",good benefits while they lasted. the pay arrived on time. decent pay at the start,no pay raise while costs climbed. layoffs come round every year,2,Former Employee,Customer Service Representative,Company B,2020
1367,Depends on the team,"no job security, they let people go without warning",decent pay at the start. the pay arrived on time. good benefits while they lasted,job security is poor. low pay for the hours asked,3,Former Employee,Systems Administrator,Company C,2017
1368,Okay overall,the training was good but the day is call after call,you learn the systems quickly,long hour shifts with a short lunch,3,Former Employee,Systems Administrator,Company H,2018
1369,Good and bad,the office and the computer setup shaped the day. worked in the call center office helping people on the phone,a helpful office and a clean center,the call center office felt dated. the office equipment is old,3,Current Employee,Customer Service Representative,Company I,2014
1370,Good culture,"the most enjoyable part was the people, the hardest part was leaving",learned a lot from the team. enjoyable typical day,some days were long. the hardest part was the pace,4,Former Employee,Data Analyst,Company E,2020
1371,Mixed experience,"layoffs and low pay defined my time there. no job security, they let people go without warning",decent pay at the start,job security disappeared after the change,3,Current Employee,Software Engineer,Company E,2017
1372,Okay overall,the training was good but the day is call after call,good training when you start,low pay for a long day of calls,3,Current Employee,Data Analyst,Company J,2020
1373,Avoid,long hours answering calls for low pay. the training was good but the day is call after call,good training when you start,short break between calls. long hours on call with a short break,2,Current Employee,Team Lead,Company F,2015
1374,Mixed experience,the company cut people every year and the pay never changed,decent pay at the start. good benefits while they lasted,constant layoffs every year. no pay raise while costs climbed,3,Former Employee,Senior Consultant,Company H,2020
1375,Enjoyed my time,good career opportunities across a strong organisation,a supportive organisation. career development is taken seriously. good technology and interesting clients,career progress can be slow,5,Former Employee,Technical Support Specialist,Company F,2018
1376,Would recommend,a great company with a good culture. great environment and good people to learn from,great benefits and a good place,the busy period can stretch. nothing serious to note,4,Former Employee,Customer Service Representative,Company J,2020
1377,Okay overall,"no job security, they let people go without warning",the pay arrived on time. decent pay at the start,layoffs come round every year. low pay for the hours asked,3,Current Employee,Network Engineer,Company G,2020
1378,Avoid,the company cut people every year and the pay never changed. layoffs and low pay defined my time there,good benefits while they lasted. decent pay at the start,low pay and no raise for years,2,Former Employee,Systems Administrator,Company C,2016
1379,Poor management,"poor management, high stress and no team support",a few good supervisors. one decent team lead,bad management and high stress. management lacks the skill,1,Current Employee,Software Engineer,Company F,2013
1380,Not what was promised,"management expects a lot and gives little support. poor management, high stress and no team support",a few good supervisors. one decent team lead,poor management and no leadership,2,Current Employee,Network Engineer,Company C,2019
1381,Not what was promised,"no job security, they let people go without warning. the company cut people every year and the pay never changed",the pay arrived on time. decent pay at the start. good benefits while they lasted,low pay for the hours asked,1,Current Employee,Customer Service Representative,Company A,2018
1382,Enjoyed my time,great environment and good people to learn from,great culture and great people. good people and a strong work environment,little to complain about,5,Former Employee,Network Engineer,Company K,2015
1383,Great place to work,good career opportunities across a strong organisation. the client work developed my career,good technology and interesting clients. career development is taken seriously,a large organisation moves slowly. career progress can be slow,5,Former Employee,Systems Administrator,Company G,2014
1384,Poor management,the supervisor and upper management were the problem. management expects a lot and gives little support,a few good supervisors. one decent team lead,no support from management. upper management expects too much,1,Current Employee,Software Engineer,Company G,2020
1385,Great place to work,"the most enjoyable part was the people, the hardest part was leaving. enjoyed the work and learned every day",enjoyable typical day. the people made the day enjoyable. enjoyed the daily work,the hardest part was the pace,5,Former Employee,Senior Consultant,Company J,2020
1386,Good company,the client work developed my career,strong culture and real career opportunities. a supportive organisation. career development is taken seriously,a large organisation moves slowly,4,Current Employee,Network Engineer,Company C,2017
1387,Not what was promised,the supervisor and upper management were the problem,one decent team lead. a few good supervisors,poor management and no leadership. no support from management,1,Current Employee,Network Engineer,Company D,2017
1388,Enjoyed my time,the client work developed my career,good technology and interesting clients,career progress can be slow. a large organisation moves slowly,4,Former Employee,Data Analyst,Company K,2019
1389,Poor management,the company cut people every year and the pay never changed,good benefits while they lasted. decent pay at the start,job security disappeared after the change,2,Current Employee,Network Engineer,Company C,2014
1390,Would recommend,good place with real opportunity. a great company with a good culture,good work environment,the busy period can stretch,4,Former Employee,Software Engineer,Company C,2017
1391,Enjoyed my time,the culture and the technology gave me a career path,career development is taken seriously. a supportive organisation,career progress can be slow. a large organisation moves slowly,4,Former Employee,Senior Consultant,Company D,2014
1392,Enjoyed my time,"a typical day was enjoyable and i learned something new. the most enjoyable part was the people, the hardest part was leaving",enjoyed the daily work,some days were long,5,Former Employee,Customer Service Representative,Company E,2014
1393,Depends on the team,long hours answering calls for low pay,good training when you start. you learn the systems quickly,long hours on call with a short break,3,Current Employee,Senior Consultant,Company K,2014
1394,Average employer,project work covering support and service delivery,clear process and a supportive project team. clear role and steady service work,the process is slow,3,Former Employee,Senior Consultant,Company G,2019
1395,Mixed experience,handled calls all day with a short break. long hours answering calls for low pay,the health cover was fine,low pay for a long day of calls. long hour shifts with a short lunch,3,Former Employee,Network Engineer,Company C,2019
1396,Great place to work,project work covering support and service delivery,clear process and a supportive project team. good project structure. clear role and steady service work,the process is slow,4,Former Employee,Systems Administrator,Company J,2016
1397,Poor management,the training was good but the day is call after call,the health cover was fine,long hours on call with a short break,2,Former Employee,Network Engineer,Company C,2017
1398,Solid employer,project work covering support and service delivery. provided customer support on the service product,clear process and a supportive project team. good project structure,too much process for a small project,4,Former Employee,Network Engineer,Company C,2016
1399,Depends on the team,handled calls all day with a short break,the health cover was fine. good training when you start,low pay for a long day of calls. long hours on call with a short break,3,Current Employee,Team Lead,Company J,2019
1400,Average employer,the company cut people every year and the pay never changed,good benefits while they lasted. the pay arrived on time. decent pay at the start,low pay for the hours asked. constant layoffs every year,3,Former Employee,Project Manager,Company H,2019
1401,Not what was promised,the company cut people every year and the pay never changed,good benefits while they lasted,layoffs come round every year,1,Former Employee,Systems Administrator,Company A,2016
1402,Would recommend,the work environment is good and the people are great. good place with real opportunity,good people and a strong work environment. great place to work. good work environment,the busy period can stretch,5,Former Employee,Technical Support Specialist,Company G,2018
1403,Good company,the client work developed my career,a supportive organisation. career development is taken seriously. strong culture and real career opportunities,career progress can be slow,4,Former Employee,Senior Consultant,Company A,2015
1404,Good culture,good career opportunities across a strong organisation. the client work developed my career,strong culture and real career opportunities,a large organisation moves slowly. career progress can be slow,4,Former Employee,Network Engineer,Company G,2016
1405,Good culture,good place with real opportunity,good work environment. great benefits and a good place,little to complain about,5,Former Employee,Technical Support Specialist,Company D,2013
1406,Not what was promised,handled calls all day with a short break. long hours answering calls for low pay,good training when you start. the health cover was fine. you learn the systems quickly,low pay for a long day of calls,2,Former Employee,Systems Administrator,Company D,2012
1407,Disappointing,the company cut people every year and the pay never changed,the pay arrived on time,job security disappeared after the change,2,Former Employee,Customer Service Representative,Company F,2020
1408,Disappointing,handled calls all day with a short break. long hours answering calls for low pay,the health cover was fine,short break between calls. low pay for a long day of calls,2,Former Employee,Customer Service Representative,Company J,2018
1409,Mixed experience,the training was good but the day is call after call,the health cover was fine. you learn the systems quickly. good training when you start,long hour shifts with a short lunch. long hours on call with a short break,3,Former Employee,Project Manager,Company I,2020
1410,Avoid,the company cut people every year and the pay never changed,decent pay at the start. good benefits while they lasted. the pay arrived on time,job security disappeared after the change,2,Current Employee,Team Lead,Company D,2018
